source,method,alpha,position_bp,distance_bp,selected_positions,selected_called,power,neutral_positions,neutral_called,positional_fpr
truth,mass_40000,0.01,5500000,500000,100,5,0.05,1000,10,0.01
truth,mass_40000,0.01,6000000,1000000,100,0,0.0,1000,8,0.008
truth,mass_40000,0.01,7000000,2000000,100,2,0.02,1000,9,0.009
truth,mass_40000,0.05,3000000,-2000000,100,5,0.05,1000,47,0.047
truth,mass_40000,0.05,4000000,-1000000,100,6,0.06,1000,48,0.048
truth,mass_40000,0.05,4500000,-500000,100,14,0.14,1000,50,0.05
truth,mass_40000,0.05,4800000,-200000,100,31,0.31,1000,48,0.048
truth,mass_40000,0.05,4900000,-100000,100,58,0.58,1000,50,0.05
truth,mass_40000,0.05,4950000,-50000,100,76,0.76,1000,47,0.047
truth,mass_40000,0.05,4980000,-20000,100,95,0.95,1000,53,0.053
truth,mass_40000,0.05,4990000,-10000,100,95,0.95,1000,56,0.056
truth,mass_40000,0.05,5000000,0,100,100,1.0,1000,51,0.051
truth,mass_40000,0.05,5010000,10000,100,95,0.95,1000,50,0.05
truth,mass_40000,0.05,5020000,20000,100,90,0.9,1000,48,0.048
truth,mass_40000,0.05,5050000,50000,100,84,0.84,1000,51,0.051
truth,mass_40000,0.05,5100000,100000,100,64,0.64,1000,49,0.049
