source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,1130000.0,neutral,40000,1000,0.17599751000000002,0.0013756392804546655
decoded,1130000.0,neutral,50000,1000,0.21390255,0.0016534407897601726
decoded,1130000.0,selected,5000,99,0.00473,6.710554365228163e-05
decoded,1130000.0,selected,10000,99,0.02192606060606061,0.0004600599303583972
decoded,1130000.0,selected,20000,99,0.07736454545454545,0.0017947266617534623
decoded,1130000.0,selected,30000,99,0.1337207070707071,0.0033191685657856973
decoded,1130000.0,selected,40000,99,0.18139505050505053,0.0045989679373664594
decoded,1130000.0,selected,50000,99,0.22030060606060606,0.005507510167963396
decoded,1180000.0,neutral,5000,1000,0.00472283,2.4460118325316592e-05
decoded,1180000.0,neutral,10000,1000,0.02118265,0.00013690259309997565
decoded,1180000.0,neutral,20000,1000,0.07548338000000002,0.0006062080059864948
decoded,1180000.0,neutral,30000,1000,0.12956528,0.0010713170858434118
decoded,1180000.0,neutral,40000,1000,0.17538183000000002,0.0014397536313794004
decoded,1180000.0,neutral,50000,1000,0.21385777,0.001748925206263608
decoded,1180000.0,selected,5000,99,0.004685454545454546,6.478120299546255e-05
decoded,1180000.0,selected,10000,99,0.02150090909090909,0.0004128870276563148
decoded,1180000.0,selected,20000,99,0.0752719191919192,0.0015264400365739828
decoded,1180000.0,selected,30000,99,0.12927838383838383,0.002847548185377955
decoded,1180000.0,selected,40000,99,0.1755832323232324,0.00408548432946619
decoded,1180000.0,selected,50000,99,0.21297202020202025,0.005084730574276561
decoded,1230000.0,neutral,5000,1000,0.00471784,2.422646602490871e-05
decoded,1230000.0,neutral,10000,1000,0.021131749999999998,0.00013357362670546628
decoded,1230000.0,neutral,20000,1000,0.07494013999999999,0.0005686743210870909
decoded,1230000.0,neutral,30000,1000,0.12862716,0.001010011667508303
decoded,1230000.0,neutral,40000,1000,0.17450482,0.0013771824106340307
decoded,1230000.0,neutral,50000,1000,0.21301367999999996,0.001660393156722977
decoded,1230000.0,selected,5000,99,0.00467959595959596,6.62880278978602e-05
decoded,1230000.0,selected,10000,99,0.021178989898989902,0.0003830380001566385
decoded,1230000.0,selected,20000,99,0.0751509090909091,0.0016405311037681104
decoded,1230000.0,selected,30000,99,0.1295360606060606,0.003191761470835112
decoded,1230000.0,selected,40000,99,0.17460646464646468,0.0044204862920494276
decoded,1230000.0,selected,50000,99,0.211140707070707,0.00532859034859348
decoded,1280000.0,neutral,5000,1000,0.0047157300000000004,2.436971378678974e-05
decoded,1280000.0,neutral,10000,1000,0.0211597,0.00013780431538721618
decoded,1280000.0,neutral,20000,1000,0.07542939000000001,0.0005868659528158661
decoded,1280000.0,neutral,30000,1000,0.12947862000000002,0.001051209191007603
decoded,1280000.0,neutral,40000,1000,0.1749223,0.0014137088328839763
decoded,1280000.0,neutral,50000,1000,0.21244385,0.0016934882299746174
decoded,1280000.0,selected,5000,99,0.0047070707070707065,7.11569514549915e-05
decoded,1280000.0,selected,10000,99,0.021394545454545454,0.00042036101908754747
decoded,1280000.0,selected,20000,99,0.07657909090909092,0.002037484620927875
decoded,1280000.0,selected,30000,99,0.13180535353535353,0.0037543950395818888
decoded,1280000.0,selected,40000,99,0.17852737373737376,0.004937596723253258
decoded,1280000.0,selected,50000,99,0.21663181818181818,0.005763246656671628
decoded,1330000.0,neutral,5000,1000,0.00471235,2.430250994217448e-05
decoded,1330000.0,neutral,10000,1000,0.0211647,0.00013492886313946364
decoded,1330000.0,neutral,20000,1000,0.07522124,0.0005610039421300759
decoded,1330000.0,neutral,30000,1000,0.12909923,0.0010069611524133242
decoded,1330000.0,neutral,40000,1000,0.17488788,0.0013802260793564713
decoded,1330000.0,neutral,50000,1000,0.2130204,0.001676972257967911
decoded,1330000.0,selected,5000,99,0.004681414141414142,6.981525966717872e-05
decoded,1330000.0,selected,10000,99,0.021543333333333334,0.0004406548134370439
decoded,1330000.0,selected,20000,99,0.07468151515151515,0.0016286874301338463
decoded,1330000.0,selected,30000,99,0.12552121212121212,0.002951281590014164
decoded,1330000.0,selected,40000,99,0.16833767676767677,0.0040762148516189775
decoded,1330000.0,selected,50000,99,0.20394646464646465,0.0047970297218166156
decoded,1380000.0,neutral,5000,1000,0.00472559,2.46917219535826e-05
decoded,1380000.0,neutral,10000,1000,0.0212284,0.00013318180969800055
decoded,1380000.0,neutral,20000,1000,0.07575935000000002,0.0005555875138653343
decoded,1380000.0,neutral,30000,1000,0.12992606,0.0010034288506589467
