attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
349	913731	False	lost	0.0	3.9300008211284876e-05	0.5695355999632739	True
350	913741	False	lost	0.0	5.229999078437686e-05	0.5522564999992028	True
351	913751	False	segregating	0.01465	3.9000005926936865e-05	2.698168099974282	True
352	913761	False	lost	0.0	3.330002073198557e-05	0.5731970999622717	True
353	913771	False	lost	0.0	3.390002530068159e-05	0.5209994000033475	True
354	913781	False	lost	0.0	3.99000127799809e-05	0.5360961999977008	True
355	913791	False	lost	0.0	5.7699973694980145e-05	0.592900899995584	True
356	913801	False	lost	0.0	5.069997860118747e-05	0.5836526000057347	True
357	913811	False	lost	0.0	3.940000897273421e-05	0.5607062000199221	True
358	913821	False	lost	0.0	0.00022569997236132622	0.5411654000054114	True
359	913831	False	lost	0.0	4.67000063508749e-05	0.5401335000060499	True
360	913841	False	lost	0.0	4.169996827840805e-05	0.5755403999937698	True
361	913851	False	lost	0.0	5.040003452450037e-05	0.550527100043837	True
362	913861	False	lost	0.0	4.39999857917428e-05	0.5789111999911256	True
363	913871	False	lost	0.0	5.23999915458262e-05	0.5520275000017136	True
364	913881	False	lost	0.0	9.44999628700316e-05	0.5452178999548778	True
365	913891	False	segregating	0.063875	5.040003452450037e-05	2.7313369000330567	True
366	913901	False	lost	0.0	4.3199979700148106e-05	0.5575301999924704	True
367	913911	False	lost	0.0	4.970002919435501e-05	0.6079805000335909	True
