haplotypes,source,method,cutoff_years,fold,selected_target,threshold,fit_neutral_n,calibration_neutral_n,training_selected_n,onset_years
400,median,maximum_frac_recent,50000,4,0.7,0.7292,400,400,80,10000
400,median,maximum_standardized_frac_recent,5000,4,0.7,3.0862660957655024,400,400,80,10000
400,median,maximum_standardized_frac_recent,10000,4,0.7,4.054429377029241,400,400,80,10000
400,median,maximum_standardized_frac_recent,20000,4,0.7,4.518925388815655,400,400,80,10000
400,median,maximum_standardized_frac_recent,30000,4,0.7,4.6831127393079965,400,400,80,10000
400,median,maximum_standardized_frac_recent,40000,4,0.7,4.815312160713429,400,400,80,10000
400,median,maximum_standardized_frac_recent,50000,4,0.7,4.647976534653287,400,400,80,10000
400,prob80,maximum_frac_recent,5000,0,0.7,0.0032,400,400,80,50000
400,prob80,maximum_frac_recent,10000,0,0.7,0.0131,400,400,80,50000
400,prob80,maximum_frac_recent,20000,0,0.7,0.073,400,400,80,50000
400,prob80,maximum_frac_recent,30000,0,0.7,0.17,400,400,80,50000
400,prob80,maximum_frac_recent,40000,0,0.7,0.2862,400,400,80,50000
400,prob80,maximum_frac_recent,50000,0,0.7,0.3836,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,5000,0,0.7,1.96008865281981,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,10000,0,0.7,3.5403548209619413,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,20000,0,0.7,3.889991120455491,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,30000,0,0.7,4.453053147687877,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,40000,0,0.7,5.066704353224515,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,50000,0,0.7,4.737393033293377,400,400,80,50000
400,prob80,maximum_frac_recent,5000,1,0.7,0.0032,400,400,80,50000
400,prob80,maximum_frac_recent,10000,1,0.7,0.0131,400,400,80,50000
400,prob80,maximum_frac_recent,20000,1,0.7,0.0736,400,400,80,50000
400,prob80,maximum_frac_recent,30000,1,0.7,0.1701,400,400,80,50000
400,prob80,maximum_frac_recent,40000,1,0.7,0.2854,400,400,80,50000
400,prob80,maximum_frac_recent,50000,1,0.7,0.3929,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,5000,1,0.7,2.013156176107797,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,10000,1,0.7,3.474224054956903,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,20000,1,0.7,4.1354115857800124,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,30000,1,0.7,4.393395448092285,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,40000,1,0.7,4.8284449056871,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,50000,1,0.7,4.989406933509236,400,400,80,50000
400,prob80,maximum_frac_recent,5000,2,0.7,0.0032,400,400,80,50000
400,prob80,maximum_frac_recent,10000,2,0.7,0.013,400,400,80,50000
400,prob80,maximum_frac_recent,20000,2,0.7,0.0714,400,400,80,50000
400,prob80,maximum_frac_recent,30000,2,0.7,0.1695,400,400,80,50000
400,prob80,maximum_frac_recent,40000,2,0.7,0.2901,400,400,80,50000
400,prob80,maximum_frac_recent,50000,2,0.7,0.3856,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,5000,2,0.7,2.063570705866457,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,10000,2,0.7,3.2681738456812073,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,20000,2,0.7,3.592468767327262,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,30000,2,0.7,4.473366705379748,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,40000,2,0.7,4.93217892027039,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,50000,2,0.7,4.893945248459151,400,400,80,50000
400,prob80,maximum_frac_recent,5000,3,0.7,0.0032,400,400,80,50000
400,prob80,maximum_frac_recent,10000,3,0.7,0.013,400,400,80,50000
400,prob80,maximum_frac_recent,20000,3,0.7,0.073,400,400,80,50000
400,prob80,maximum_frac_recent,30000,3,0.7,0.1774,400,400,80,50000
400,prob80,maximum_frac_recent,40000,3,0.7,0.2954,400,400,80,50000
400,prob80,maximum_frac_recent,50000,3,0.7,0.3971,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,5000,3,0.7,2.0027361233524923,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,10000,3,0.7,3.3553458262053137,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,20000,3,0.7,4.105453773821085,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,30000,3,0.7,4.549101306168556,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,40000,3,0.7,4.831534509553584,400,400,80,50000
400,prob80,maximum_standardized_frac_recent,50000,3,0.7,5.068378035476955,400,400,80,50000
400,prob80,maximum_frac_recent,5000,4,0.7,0.0032,400,400,80,50000
400,prob80,maximum_frac_recent,10000,4,0.7,0.013,400,400,80,50000
400,prob80,maximum_frac_recent,20000,4,0.7,0.073,400,400,80,50000
400,prob80,maximum_frac_recent,30000,4,0.7,0.1774,400,400,80,50000
400,prob80,maximum_frac_recent,40000,4,0.7,0.2901,400,400,80,50000
400,prob80,maximum_frac_recent,50000,4,0.7,0.3882,400,400,80,50000
