source,onset_years,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,mode,n,called,region_call_rate
mean,50000,20000,0.05,20000,0,10,neutral,1000,209,0.209
mean,50000,20000,0.05,20000,0,10,selected,100,40,0.4
mean,50000,20000,0.05,20000,0,20,neutral,1000,13,0.013
mean,50000,20000,0.05,20000,0,20,selected,100,3,0.03
mean,50000,20000,0.05,20000,1,1,neutral,1000,999,0.999
mean,50000,20000,0.05,20000,1,1,selected,100,100,1.0
mean,50000,20000,0.05,20000,1,3,neutral,1000,981,0.981
mean,50000,20000,0.05,20000,1,3,selected,100,99,0.99
mean,50000,20000,0.05,20000,1,5,neutral,1000,835,0.835
mean,50000,20000,0.05,20000,1,5,selected,100,91,0.91
mean,50000,20000,0.05,20000,1,10,neutral,1000,262,0.262
mean,50000,20000,0.05,20000,1,10,selected,100,44,0.44
mean,50000,20000,0.05,20000,1,20,neutral,1000,18,0.018
mean,50000,20000,0.05,20000,1,20,selected,100,4,0.04
mean,50000,20000,0.05,50000,0,1,neutral,1000,997,0.997
mean,50000,20000,0.05,50000,0,1,selected,100,99,0.99
mean,50000,20000,0.05,50000,0,3,neutral,1000,612,0.612
mean,50000,20000,0.05,50000,0,3,selected,100,76,0.76
mean,50000,20000,0.05,50000,0,5,neutral,1000,171,0.171
mean,50000,20000,0.05,50000,0,5,selected,100,33,0.33
mean,50000,20000,0.05,50000,0,10,neutral,1000,8,0.008
mean,50000,20000,0.05,50000,0,10,selected,100,2,0.02
mean,50000,20000,0.05,50000,0,20,neutral,1000,0,0.0
mean,50000,20000,0.05,50000,0,20,selected,100,0,0.0
mean,50000,20000,0.05,50000,1,1,neutral,1000,997,0.997
mean,50000,20000,0.05,50000,1,1,selected,100,99,0.99
mean,50000,20000,0.05,50000,1,3,neutral,1000,659,0.659
mean,50000,20000,0.05,50000,1,3,selected,100,79,0.79
mean,50000,20000,0.05,50000,1,5,neutral,1000,217,0.217
mean,50000,20000,0.05,50000,1,5,selected,100,41,0.41
mean,50000,20000,0.05,50000,1,10,neutral,1000,17,0.017
mean,50000,20000,0.05,50000,1,10,selected,100,3,0.03
mean,50000,20000,0.05,50000,1,20,neutral,1000,0,0.0
mean,50000,20000,0.05,50000,1,20,selected,100,0,0.0
mean,50000,20000,0.01,10000,0,1,neutral,1000,821,0.821
mean,50000,20000,0.01,10000,0,1,selected,100,86,0.86
mean,50000,20000,0.01,10000,0,3,neutral,1000,702,0.702
mean,50000,20000,0.01,10000,0,3,selected,100,77,0.77
mean,50000,20000,0.01,10000,0,5,neutral,1000,560,0.56
mean,50000,20000,0.01,10000,0,5,selected,100,69,0.69
mean,50000,20000,0.01,10000,0,10,neutral,1000,201,0.201
