position_0based	focal_carrier_copies	pair_class	n_pairs	mean_tmrca_generations	standard_error_generations	ci95_lower_generations	ci95_upper_generations	selected_attempt	population_focal_allele_frequency	sample_focal_allele_frequency
900000.0	2	hom_alt	21	18746.385273320444	3819.4054798680872	12255.868337263526	28674.17886232219	8	0.102125	0.10275
950000.0	0	hom_ref	1610	16864.799703873505	304.22174626315535	16278.520238940715	17472.194331975712	8	0.102125	0.10275
950000.0	2	hom_alt	21	14483.965007894858	2546.0311390462866	10037.87856473118	20899.360457200433	8	0.102125	0.10275
1000000.0	0	hom_ref	1610	18351.92758342838	264.89032647799144	17839.647118263154	18878.91861283572	8	0.102125	0.10275
1000000.0	2	hom_alt	21	17004.80402117882	2694.1250865086718	12219.219516172063	23664.634178639106	8	0.102125	0.10275
1050000.0	0	hom_ref	1610	26461.530901607315	796.4492468045181	24944.562478471267	28070.751622164014	8	0.102125	0.10275
1050000.0	2	hom_alt	21	15474.521541752361	4548.805093885266	8381.4135179624	28570.45729016518	8	0.102125	0.10275
1100000.0	0	hom_ref	1610	13162.04495472672	157.75674046992125	12856.223566788449	13475.141163364446	8	0.102125	0.10275
1100000.0	2	hom_alt	21	11235.958794303018	1552.0528335306421	8423.113802602466	14988.135383884906	8	0.102125	0.10275
1150000.0	0	hom_ref	1610	8701.815200514387	119.16718453584835	8471.18729489213	8938.721946280313	8	0.102125	0.10275
1150000.0	2	hom_alt	21	8658.844645094263	1060.2356304136856	6707.086728037899	11178.562858663237	8	0.102125	0.10275
1200000.0	0	hom_ref	1610	17038.067290761228	357.6581163940677	16350.788636068446	17754.23457949545	8	0.102125	0.10275
1200000.0	2	hom_alt	21	20005.294955097877	3008.278458761173	14619.000486182893	27376.14152340467	8	0.102125	0.10275
1250000.0	0	hom_ref	1610	14242.907108385403	223.01646395427701	13812.122878685712	14687.127002840462	8	0.102125	0.10275
1250000.0	2	hom_alt	21	10250.63848635519	1194.0252583296922	8039.450114956119	13069.99706142461	8	0.102125	0.10275
1300000.0	0	hom_ref	1610	13386.786783111591	262.83268813457795	12881.056809526714	13912.372488253603	8	0.102125	0.10275
1300000.0	2	hom_alt	21	13403.050765570004	2279.749827001315	9399.692242957482	19111.452288136286	8	0.102125	0.10275
1350000.0	0	hom_ref	1610	27605.140479982005	571.5578264857443	26506.52344071435	28749.29194784678	8	0.102125	0.10275
1350000.0	2	hom_alt	21	29304.349653816633	4976.819372216381	20562.569227971053	41762.52972634378	8	0.102125	0.10275
1400000.0	0	hom_ref	1610	18364.012584700013	349.7236293231871	17690.704385427387	19062.94689367018	8	0.102125	0.10275
1400000.0	2	hom_alt	21	19360.289476623668	3238.9640966342104	13656.883470899376	27445.559553711362	8	0.102125	0.10275
1450000.0	0	hom_ref	1610	22993.34931018988	355.97280042071696	22305.62482738971	23702.277635872848	8	0.102125	0.10275
1450000.0	2	hom_alt	21	22324.796309965786	3217.613775414952	16527.962027463393	30154.748023580298	8	0.102125	0.10275
1500000.0	0	hom_ref	1610	27752.94800905965	532.2777270162404	26728.31107715957	28816.864670950257	8	0.102125	0.10275
1500000.0	2	hom_alt	21	26357.464926688215	4969.29243140127	17787.133916329	39057.21746007849	8	0.102125	0.10275
1550000.0	0	hom_ref	1610	31087.334390444743	843.5967773736915	29475.93521546747	32786.826013791724	8	0.102125	0.10275
1550000.0	2	hom_alt	21	37307.579561751445	8491.136693397764	23206.56136327363	59976.80875543865	8	0.102125	0.10275
1600000.0	0	hom_ref	1610	13031.574547046932	176.65022970977705	12689.651553306861	13382.71066481622	8	0.102125	0.10275
1600000.0	2	hom_alt	21	12846.25145143079	1534.3873357058767	10013.15306186231	16480.940152800886	8	0.102125	0.10275
1650000.0	0	hom_ref	1610	10027.278491872015	148.3450847302687	9740.489708438046	10322.51118405857	8	0.102125	0.10275
1650000.0	2	hom_alt	21	9027.796914970764	1366.4140903695056	6583.619165034758	12379.379045921069	8	0.102125	0.10275
1700000.0	0	hom_ref	1610	18446.718634862184	247.84336307694986	17966.93851787042	18939.310559521215	8	0.102125	0.10275
1700000.0	2	hom_alt	21	14467.357944833833	2549.739334748826	10016.792982058198	20895.355058135567	8	0.102125	0.10275
1750000.0	0	hom_ref	1610	17880.9485506041	304.2056700645295	17294.11324649429	18487.69673889833	8	0.102125	0.10275
1750000.0	2	hom_alt	21	14960.350724802	3003.824246707189	9841.14257613477	22742.490729870995	8	0.102125	0.10275
1800000.0	0	hom_ref	1610	21509.46884037569	338.50802154551957	20855.648956285662	22183.78583015289	8	0.102125	0.10275
1800000.0	2	hom_alt	21	20433.568520650937	3357.680850091235	14503.786983135047	28787.703719976045	8	0.102125	0.10275
1850000.0	0	hom_ref	1610	15252.111994122732	218.23560847147982	14830.007030729914	15686.231287633645	8	0.102125	0.10275
1850000.0	2	hom_alt	21	13472.305976243564	2218.2147526289596	9556.125415813998	18993.3702646019	8	0.102125	0.10275
1900000.0	0	hom_ref	1610	34664.475695388595	617.3401148226271	33474.50504826246	35896.748092428	8	0.102125	0.10275
1900000.0	2	hom_alt	21	30772.43188118934	6003.597084665974	20484.219865761595	46227.90470362056	8	0.102125	0.10275
1950000.0	0	hom_ref	1610	13466.793513985041	299.1595172363239	12892.610402751678	14066.54834691995	8	0.102125	0.10275
