attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds
1092	941697	False	lost	0.0	1.2813000012101838e-05	0.5007937110000285
1093	941707	False	lost	0.0	2.068700001700563e-05	0.542435931
1094	941717	False	lost	0.0	1.531700002033176e-05	0.5223552890000178
1095	941727	False	lost	0.0	2.143800003295837e-05	0.4741382629999862
1096	941737	False	lost	0.0	2.326100002392195e-05	0.5271443060000252
1097	941747	False	lost	0.0	1.1400000005323818e-05	0.5147172769999884
1098	941757	False	lost	0.0	1.546800001506199e-05	0.4920591599999966
1099	941767	False	segregating	0.0885	1.752099996110701e-05	3.548818151999967
1100	941777	False	lost	0.0	9.457000032853102e-06	0.7458338779999849
1101	941787	False	lost	0.0	9.497000007741008e-06	0.5452485800000204
1102	941797	False	lost	0.0	1.1610999990807613e-05	0.5107059389999904
1103	941807	False	lost	0.0	1.1400000005323818e-05	0.5020196069999656
1104	941817	False	lost	0.0	8.865999973295402e-06	0.49916880699998956
1105	941827	False	lost	0.0	8.92599996404897e-06	0.5354864639999732
1106	941837	False	lost	0.0	1.5507999989949894e-05	0.5258950510000204
1107	941847	False	lost	0.0	1.1599999993450183e-05	0.5241156129999922
1108	941857	False	lost	0.0	8.475000015550904e-06	0.48183269800000517
1109	941867	False	lost	0.0	1.28330000279675e-05	0.5511465470000303
1110	941877	False	lost	0.0	1.6318999996656203e-05	0.5014998340000147
1111	941887	False	lost	0.0	2.274000001989407e-05	0.517865090999976
1112	941897	False	lost	0.0	2.1559000003890105e-05	0.517852879999964
1113	941907	False	lost	0.0	1.4937000003101275e-05	0.5078834939999979
1114	941917	False	lost	0.0	1.827199997705975e-05	0.4938010750000217
1115	941927	False	lost	0.0	1.2231000027895789e-05	0.5224987799999781
1116	941937	False	lost	0.0	1.2322000031872449e-05	0.5187772769999697
1117	941947	False	lost	0.0	1.4346000000386994e-05	0.5535874460000514
1118	941957	False	lost	0.0	2.7990000035060802e-05	0.5069660020000128
1119	941967	False	lost	0.0	1.1690000008002244e-05	0.502354089999983
1120	941977	False	lost	0.0	1.0379000002558314e-05	0.5064841290000004
1121	941987	False	lost	0.0	9.787999999844033e-06	0.5112837830000103
1122	941997	False	lost	0.0	1.0698999972191814e-05	0.5161442229999693
1123	942007	False	lost	0.0	1.5246999964801944e-05	0.5102057089999903
1124	942017	False	lost	0.0	1.0980000013205427e-05	0.5819798059999925
1125	942027	False	lost	0.0	1.5576999999211694e-05	0.5100719459999823
1126	942037	False	lost	0.0	8.245000003626046e-06	0.5157836810000163
1127	942047	False	lost	0.0	7.694000032643089e-06	0.5857197500000098
1128	942057	False	lost	0.0	1.0587999952349492e-05	0.5016990620000001
1129	942067	False	lost	0.0	2.622600004542619e-05	0.5278458980000096
1130	942077	False	lost	0.0	1.555699998334603e-05	0.7413313640000183
1131	942087	False	lost	0.0	2.116799998930219e-05	0.5228236190000075
1132	942097	False	lost	0.0	2.590600001894927e-05	0.5148830740000108
1133	942107	False	lost	0.0	1.3363999983084796e-05	0.49434332100003076
1134	942117	False	lost	0.0	1.0368000005200884e-05	0.5087072809999995
1135	942127	False	lost	0.0	1.4986999985922012e-05	0.5378841529999931
1136	942137	False	lost	0.0	2.5606000008338015e-05	0.5515402980000204
1137	942147	False	lost	0.0	1.4245999977902102e-05	0.5138217600000416
1138	942157	False	lost	0.0	1.1571000015919708e-05	0.5048570490000088
1139	942167	False	lost	0.0	1.3103000014780264e-05	0.5099957830000221
1140	942177	False	lost	0.0	2.588600000308361e-05	0.5336054059999924
1141	942187	False	lost	0.0	1.3534000004256086e-05	0.5255487510000307
1142	942197	False	lost	0.0	1.1309999990771757e-05	0.585456220000026
1143	942207	False	lost	0.0	9.155999975973828e-06	0.49725634999998647
1144	942217	False	lost	0.0	8.736000040698855e-06	0.5343824849999805
