position_0based	origin	selection_coefficient	genotype_class	threshold_years	n_replicates	mean_statistic	auc_vs_neutral
2960000.0	introgressed	0.002	unconditional	20000.0	80	0.049874999999999954	0.5531430468749998
2970000.0	introgressed	0.002	unconditional	20000.0	80	0.04937499999999996	0.53963921875
2980000.0	introgressed	0.002	unconditional	20000.0	80	0.049374999999999974	0.5411703125
2990000.0	introgressed	0.002	unconditional	20000.0	80	0.05124999999999998	0.5785109374999999
3000000.0	introgressed	0.002	unconditional	20000.0	80	0.05187499999999999	0.5813518749999997
3010000.0	introgressed	0.002	unconditional	20000.0	80	0.051499999999999976	0.5819846093749997
3020000.0	introgressed	0.002	unconditional	20000.0	80	0.050249999999999996	0.5672676562499999
3030000.0	introgressed	0.002	unconditional	20000.0	80	0.04999999999999997	0.5582396875
3040000.0	introgressed	0.002	unconditional	20000.0	80	0.05037499999999997	0.5619204687500001
3050000.0	introgressed	0.002	unconditional	20000.0	80	0.048874999999999974	0.5409436718749999
3060000.0	introgressed	0.002	unconditional	20000.0	80	0.04762499999999999	0.5322184375000001
3070000.0	introgressed	0.002	unconditional	20000.0	80	0.04649999999999997	0.5159189843750005
3080000.0	introgressed	0.002	unconditional	20000.0	80	0.04574999999999998	0.512279296875
3090000.0	introgressed	0.002	unconditional	20000.0	80	0.04624999999999997	0.5140703906250003
