arm	arm_id	replicate_index	sample_af	threshold_years	statistic	null_mean	percentile	p_value
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	2000.0	0.0	0.000993375	0.45258125	1.0
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	3000.0	0.0	0.001476625	0.43190625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	5000.0	0.0	0.002681	0.38610625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	7500.0	0.0	0.004046	0.3381	1.0
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	10000.0	0.0	0.007332625000000001	0.24276875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	15000.0	0.01	0.02339975	0.209875	0.904288696391295
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	20000.0	0.01	0.045883375000000004	0.036568750000000004	0.9886501418732266
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	30000.0	0.08	0.10039962499999999	0.31454375	0.7388782640216998
de novo 55 kya, s=0.05	denovo_s0p05	2	1.0	50000.0	0.38	0.203113625	0.97428125	0.027824652191847602
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	2000.0	0.0	0.000993375	0.45258125	1.0
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	3000.0	0.0	0.001476625	0.43190625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	5000.0	0.0	0.002681	0.38610625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	7500.0	0.0	0.004046	0.3381	1.0
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	10000.0	0.0	0.007332625000000001	0.24276875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	15000.0	0.03	0.02339975	0.6895249999999999	0.4128198397520031
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	20000.0	0.06	0.045883375000000004	0.748875	0.3144210697366283
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	30000.0	0.1	0.10039962499999999	0.53591875	0.51865601679979
de novo 55 kya, s=0.05	denovo_s0p05	3	1.0	50000.0	0.31	0.203113625	0.91655	0.09031137110786115
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	2000.0	0.01	0.000993375	0.95033125	0.09484881438982012
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	3000.0	0.01	0.001476625	0.92623125	0.136198297521281
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	5000.0	0.01	0.002681	0.8691	0.2277971525355933
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	7500.0	0.01	0.004046	0.804	0.3238084523943451
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	15000.0	0.03	0.02339975	0.6895249999999999	0.4128198397520031
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	20000.0	0.06	0.045883375000000004	0.748875	0.3144210697366283
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	30000.0	0.12	0.10039962499999999	0.7288625	0.31240859489256384
de novo 55 kya, s=0.05	denovo_s0p05	4	1.0	50000.0	0.24	0.203113625	0.74135625	0.277984025199685
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	2000.0	0.0	0.000993375	0.45258125	1.0
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	3000.0	0.01	0.001476625	0.92623125	0.136198297521281
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	5000.0	0.01	0.002681	0.8691	0.2277971525355933
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	7500.0	0.01	0.004046	0.804	0.3238084523943451
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	10000.0	0.01	0.007332625000000001	0.65925	0.5144685691428857
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	15000.0	0.04	0.02339975	0.8504375000000001	0.20814739815752303
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	20000.0	0.09	0.045883375000000004	0.96375	0.04986187672654092
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	30000.0	0.2	0.10039962499999999	0.98535	0.0175372807839902
de novo 55 kya, s=0.05	denovo_s0p05	5	1.0	50000.0	0.35	0.203113625	0.95739375	0.046174422819714754
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	500.0	0.0	4.1874999999999995e-05	0.49790625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	1000.0	0.0	0.00034862500000000003	0.48256875	1.0
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	2000.0	0.0	0.000993375	0.45258125	1.0
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	3000.0	0.0	0.001476625	0.43190625	1.0
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	5000.0	0.01	0.002681	0.8691	0.2277971525355933
de novo 55 kya, s=0.05	denovo_s0p05	6	1.0	7500.0	0.01	0.004046	0.804	0.3238084523943451
