origin	arm_id	selection_coefficient	replicate_index	sample_af	hom_carrier_diploids	genotype_class	n_pairs	threshold_years	statistic	null_mean	p_value	percentile
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	unconditional	100	50000.0	0.24	0.203113625	0.277984025199685	0.74135625
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	unconditional	100	100000.0	0.26	0.34436500000000003	0.7408157398032524	0.27808750000000004
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	hom_carrier	16	1000.0	0.0	0.00035546875	1.0	0.49715625
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	hom_carrier	16	4500.0	0.0	0.0023390625	1.0	0.48165625
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	hom_carrier	16	10000.0	0.0625	0.00733203125	0.11083611454856815	0.9414625000000001
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	hom_carrier	16	20000.0	0.1875	0.04598046875	0.03721203484956438	0.978375
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	hom_carrier	16	30000.0	0.3125	0.1008125	0.022199722503468706	0.98615625
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	hom_carrier	16	40000.0	0.4375	0.15655078125	0.016862289221384733	0.9887125
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	hom_carrier	16	50000.0	0.6875	0.20279296875	0.00161247984400195	0.9988625
introgressed	eas_introgressed_s0p002	0.002	12	0.47	16	hom_carrier	16	100000.0	0.6875	0.344021875	0.04853689328883389	0.9616625
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	unconditional	100	1000.0	0.0	0.00034862500000000003	1.0	0.48256875
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	unconditional	100	4500.0	0.0	0.00241125	1.0	0.39644375
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	unconditional	100	10000.0	0.01	0.007332625000000001	0.5144685691428857	0.65925
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	unconditional	100	20000.0	0.09	0.045883375000000004	0.04986187672654092	0.96375
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	unconditional	100	30000.0	0.15	0.10039962499999999	0.11817352283096462	0.8995062500000001
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	unconditional	100	40000.0	0.23	0.15611	0.1090611367357908	0.901925
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	unconditional	100	50000.0	0.25	0.203113625	0.23932200847489407	0.777975
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	unconditional	100	100000.0	0.35	0.34436500000000003	0.4131823352208097	0.60236875
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	hom_carrier	23	1000.0	0.0	0.0003603260869565217	1.0	0.49585625
introgressed	eas_introgressed_s0p002	0.002	13	0.475	23	hom_carrier	23	4500.0	0.0	0.002466304347826087	1.0	0.4726
