position_0based	arm	threshold_years	genotype_class	method	n_replicates	mean_statistic
4120000.0	neutral	1000.0	overall	truth	100	0.0004580000000000001
4130000.0	neutral	1000.0	overall	truth	100	0.00046000000000000007
4140000.0	neutral	1000.0	overall	truth	100	0.0004590000000000001
4150000.0	neutral	1000.0	overall	truth	100	0.00046000000000000007
4160000.0	neutral	1000.0	overall	truth	100	0.0004590000000000001
4170000.0	neutral	1000.0	overall	truth	100	0.00045700000000000005
4180000.0	neutral	1000.0	overall	truth	100	0.00046100000000000015
4190000.0	neutral	1000.0	overall	truth	100	0.0004600000000000001
4200000.0	neutral	1000.0	overall	truth	100	0.00046300000000000014
4210000.0	neutral	1000.0	overall	truth	100	0.00046500000000000014
4220000.0	neutral	1000.0	overall	truth	100	0.00046700000000000013
4230000.0	neutral	1000.0	overall	truth	100	0.00046300000000000014
