source,pair_class,position_0based,n_pairs,mean_tmrca_years,count_recent_5000,frac_recent_5000,count_recent_10000,frac_recent_10000,count_recent_20000,frac_recent_20000,count_recent_30000,frac_recent_30000,count_recent_40000,frac_recent_40000,count_recent_50000,frac_recent_50000,replicate,onset_years,sample_af
truth,all pairs,5000000,10000,467030.6354083021,21,0.0021,84,0.0084,510,0.051,3150,0.315,6895,0.6895,6918,0.6918,14,50000,0.8225
decoded,ref/ref,5000000,266,529820.30025847,6,0.0225563909774436,13,0.0488721804511278,31,0.1165413533834586,44,0.1654135338345864,57,0.2142857142857142,72,0.2706766917293233,15,50000,0.8325
decoded,alt/ref,5000000,2793,916921.4718766322,0,0.0,0,0.0,1,0.0003580379520229,1,0.0003580379520229,1,0.0003580379520229,2,0.0007160759040458,15,50000,0.8325
decoded,alt/alt,5000000,6941,29660.09641420468,73,0.0105172165394035,716,0.103155164961821,3182,0.4584353839504394,4850,0.6987465783028383,5769,0.8311482495317678,6128,0.8828699034721221,15,50000,0.8325
decoded,all pairs,5000000,10000,290776.46000311815,79,0.0079,729,0.0729,3214,0.3214,4895,0.4895,5827,0.5827,6202,0.6202,15,50000,0.8325
truth,ref/ref,5000000,266,542902.8250437152,5,0.018796992481203,13,0.0488721804511278,32,0.1203007518796992,65,0.244360902255639,65,0.244360902255639,84,0.3157894736842105,15,50000,0.8325
truth,alt/ref,5000000,2793,960904.0471153436,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,50000,0.8325
truth,alt/alt,5000000,6941,36025.122460740524,27,0.0038899294049848,67,0.0096527877827402,568,0.0818325889641262,2321,0.3343898573692551,3256,0.4690966719492868,6941,1.0,15,50000,0.8325
truth,all pairs,5000000,10000,307826.7530054783,32,0.0032,80,0.008,600,0.06,2386,0.2386,3321,0.3321,7025,0.7025,15,50000,0.8325
decoded,ref/ref,5000000,616,834171.192908443,8,0.0129870129870129,27,0.0438311688311688,63,0.1022727272727272,104,0.1688311688311688,135,0.2191558441558441,155,0.2516233766233766,16,50000,0.755
decoded,alt/ref,5000000,3640,1267168.9054930627,0,0.0,0,0.0,0,0.0,3,0.0008241758241758,11,0.003021978021978,12,0.0032967032967032,16,50000,0.755
decoded,alt/alt,5000000,5744,55913.15134288314,41,0.0071378830083565,194,0.0337743732590529,735,0.1279596100278551,1495,0.2602715877437326,2438,0.4244428969359331,3259,0.567374651810585,16,50000,0.755
decoded,all pairs,5000000,10000,544750.941213987,49,0.0049,221,0.0221,798,0.0798,1602,0.1602,2584,0.2584,3426,0.3426,16,50000,0.755
truth,ref/ref,5000000,616,733286.5814416319,3,0.0048701298701298,6,0.0097402597402597,59,0.0957792207792207,76,0.1233766233766233,113,0.1834415584415584,204,0.3311688311688311,16,50000,0.755
truth,alt/ref,5000000,3640,1097597.182458094,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,50000,0.755
truth,alt/alt,5000000,5744,38694.20264623955,19,0.0033077994428969,63,0.0109679665738161,509,0.0886142061281337,1570,0.2733286908077994,2175,0.3786559888579387,5744,1.0,16,50000,0.755
truth,all pairs,5000000,10000,466921.7778315507,22,0.0022,69,0.0069,568,0.0568,1646,0.1646,2288,0.2288,5948,0.5948,16,50000,0.755
decoded,ref/ref,5000000,89,365598.3903947875,3,0.0337078651685393,5,0.0561797752808988,13,0.146067415730337,18,0.2022471910112359,20,0.2247191011235955,20,0.2247191011235955,17,50000,0.9025
decoded,alt/ref,5000000,1761,991866.795051432,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0005678591709256,1,0.0005678591709256,17,50000,0.9025
decoded,alt/alt,5000000,8150,40721.70706569359,43,0.0052760736196319,394,0.0483435582822085,1850,0.2269938650306748,3227,0.3959509202453988,4383,0.5377914110429448,5877,0.7211042944785276,17,50000,0.9025
decoded,all pairs,5000000,10000,211109.75954161107,46,0.0046,399,0.0399,1863,0.1863,3245,0.3245,4404,0.4404,5898,0.5898,17,50000,0.9025
truth,ref/ref,5000000,89,522230.3370786517,1,0.0112359550561797,3,0.0337078651685393,16,0.1797752808988764,18,0.2022471910112359,18,0.2022471910112359,25,0.2808988764044944,17,50000,0.9025
truth,alt/ref,5000000,1761,790905.0255536627,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,50000,0.9025
truth,alt/alt,5000000,8150,34672.024539877304,23,0.0028220858895705,80,0.0098159509202454,542,0.0665030674846625,1363,0.1672392638036809,7219,0.8857668711656441,8150,1.0,17,50000,0.9025
truth,all pairs,5000000,10000,172183.925,24,0.0024,83,0.0083,558,0.0558,1381,0.1381,7237,0.7237,8175,0.8175,17,50000,0.9025
decoded,ref/ref,5000000,50,324380.3549949301,1,0.02,2,0.04,3,0.06,4,0.08,12,0.24,16,0.32,18,50000,0.9325
decoded,alt/ref,5000000,1265,783588.7998250879,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,50000,0.9325
decoded,alt/alt,5000000,8685,47198.111423621776,51,0.0058721934369602,243,0.0279792746113989,1213,0.1396660909614277,2348,0.2703511801957398,4268,0.4914219919401266,5442,0.6265975820379965,18,50000,0.9325
decoded,all pairs,5000000,10000,141737.4447242638,52,0.0052,245,0.0245,1216,0.1216,2352,0.2352,4280,0.428,5458,0.5458,18,50000,0.9325
