attempt	seed	accepted	focal_allele_outcome	population_allele_frequency	ancestry_seconds	slim_seconds	used_for_rejection_decision
10391	1034687	False	lost	0.0	4.4899992644786835e-05	0.527232299966272	True
10392	1034697	False	segregating	0.0068	3.5299977753311396e-05	4.041536599979736	True
10393	1034707	False	lost	0.0	2.9399991035461426e-05	0.5335918000200763	True
10394	1034717	False	lost	0.0	3.6699988413602114e-05	0.5141980999615043	True
10395	1034727	False	lost	0.0	5.889998283237219e-05	0.5301340000005439	True
10396	1034737	False	lost	0.0	3.840000135824084e-05	0.4942500999895856	True
10397	1034747	False	lost	0.0	3.519997699186206e-05	0.5156369999749586	True
10398	1034757	False	lost	0.0	3.9700011257082224e-05	0.5433219000115059	True
10399	1034767	False	lost	0.0	3.4800032153725624e-05	0.5583926000399515	True
10400	1034777	False	lost	0.0	2.9799994081258774e-05	0.4849450000328943	True
10401	1034787	False	lost	0.0	5.520001286640763e-05	0.8514072000398301	True
10402	1034797	False	lost	0.0	4.730001091957092e-05	0.486045700032264	True
10403	1034807	False	lost	0.0	4.349998198449612e-05	0.455511900014244	True
10404	1034817	False	lost	0.0	4.040001658722758e-05	0.4740445000352338	True
10405	1034827	False	lost	0.0	3.789999755099416e-05	0.46824880002532154	True
10406	1034837	False	lost	0.0	3.200001083314419e-05	0.48343939997721463	True
10407	1034847	False	lost	0.0	4.680000711232424e-05	0.4720380999497138	True
10408	1034857	False	lost	0.0	3.850000211969018e-05	0.5309914999525063	True
10409	1034867	False	lost	0.0	9.799998952075839e-05	0.5036535999970511	True
10410	1034877	False	lost	0.0	0.00010840001050382853	0.4905835000099614	True
10411	1034887	False	lost	0.0	4.88999648950994e-05	0.4986927999998443	True
10412	1034897	False	lost	0.0	3.619998460635543e-05	0.5242399999988265	True
10413	1034907	False	lost	0.0	5.0799979362636805e-05	0.5169094000011683	True
10414	1034917	False	lost	0.0	3.0399998649954796e-05	0.5181675999774598	True
10415	1034927	False	lost	0.0	6.829999620094895e-05	0.5626419000327587	True
10416	1034937	False	lost	0.0	5.140004213899374e-05	0.5298875999869779	True
10417	1034947	False	lost	0.0	6.820005364716053e-05	0.5067141000181437	True
10418	1034957	False	lost	0.0	4.429998807609081e-05	0.5699246999574825	True
10419	1034967	False	lost	0.0	3.920000744983554e-05	0.4869217000086792	True
10420	1034977	False	lost	0.0	4.649994662031531e-05	0.5029243000317365	True
10421	1034987	False	lost	0.0	2.989999484270811e-05	0.49841010000091046	True
10422	1034997	False	lost	0.0	4.549999721348286e-05	0.5003845000173897	True
10423	1035007	False	lost	0.0	0.00016409996896982193	0.4816510999808088	True
10424	1035017	False	lost	0.0	3.5400036722421646e-05	0.4833409000420943	True
10425	1035027	False	lost	0.0	3.880000440403819e-05	0.49498350004432723	True
10426	1035037	False	lost	0.0	4.250003257766366e-05	0.5285072000115179	True
10427	1035047	False	lost	0.0	3.9000005926936865e-05	0.4695507999858819	True
10428	1035057	False	lost	0.0	3.679998917505145e-05	0.4852475000079721	True
10429	1035067	False	lost	0.0	3.7699996028095484e-05	0.4549468000186607	True
10430	1035077	False	lost	0.0	2.9399991035461426e-05	0.5069910999736749	True
10431	1035087	False	lost	0.0	3.750005271285772e-05	0.5047924999962561	True
10432	1035097	False	lost	0.0	4.1899969801306725e-05	0.48927580000599846	True
10433	1035107	False	lost	0.0	4.220003029331565e-05	0.7452019000193104	True
10434	1035117	False	lost	0.0	3.809999907389283e-05	0.4885529999737628	True
