unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	statistic	window	threshold_years	score	final_population_af	sample_alt_count	sample_af
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	local_100kb	10000	0.032063492064300002	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	local_100kb	20000	0.123203463197	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	local_100kb	30000	0.208936988938	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	local_100kb	40000	0.27434343433300001	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	paper_frac_posterior_mean_below	local_100kb	50000	0.32262626262400002	0.19533969232404283	35	0.17499999999999999
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	focal	1000	0.0094285384080000003	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	focal	4500	0.044106878039999999	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	focal	10000	0.095785196949999998	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	focal	20000	0.17698600410000001	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	focal	30000	0.2436973576	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	focal	40000	0.29872071049999999	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	focal	50000	0.34441606650000001	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	local_100kb	1000	0.012631785159	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	local_100kb	4500	0.057909603439500003	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	local_100kb	10000	0.123336542592	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	local_100kb	20000	0.22215750778599999	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	local_100kb	30000	0.30009896050500001	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	local_100kb	40000	0.36254707585200002	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	mean_p_tmrca_lt	local_100kb	50000	0.413427503576	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	focal	1000	0.000404040404	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	focal	4500	0.003232323232	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	focal	10000	0.022020202020000001	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	focal	20000	0.076767676770000001	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	focal	30000	0.1373737374	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	focal	40000	0.1997979798	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	focal	50000	0.27333333329999998	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	local_100kb	1000	0.000404040404	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	local_100kb	4500	0.0033092833089499998	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	local_100kb	10000	0.024040404038999999	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	local_100kb	20000	0.096777296776699995	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	local_100kb	30000	0.18987974988600001	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	local_100kb	40000	0.27804713804800002	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r004	EAS	neutral	0	2026083604	25	paper_frac_posterior_mean_below	local_100kb	50000	0.34494468493300001	0.19533969232404283	0	0
eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	mean_p_tmrca_lt	focal	1000	0.007440798044	0.19533969232404283	42	0.20999999999999999
eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	mean_p_tmrca_lt	focal	4500	0.03581940695	0.19533969232404283	42	0.20999999999999999
eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	mean_p_tmrca_lt	focal	10000	0.078937065919999994	0.19533969232404283	42	0.20999999999999999
eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	mean_p_tmrca_lt	focal	20000	0.14750058990000001	0.19533969232404283	42	0.20999999999999999
eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	mean_p_tmrca_lt	focal	30000	0.20301958170000001	0.19533969232404283	42	0.20999999999999999
eas_neutral_exact_population_af_reverse_bridge_r005	EAS	neutral	0	2026083605	25	mean_p_tmrca_lt	focal	40000	0.2471641118	0.19533969232404283	42	0.20999999999999999
