base_specification_id	selection_coefficient	target_allele_frequency	source	genotype_class	threshold_years	n_observed_replicates	mean_p_tmrca_lt_threshold	median_p_tmrca_lt_threshold	sample_sd_p_tmrca_lt_threshold	q25_p_tmrca_lt_threshold	q75_p_tmrca_lt_threshold	bootstrap_mean_ci95_low	bootstrap_mean_ci95_high	bootstrap_draws	bootstrap_seed	conditioning_missingness
intro_s0p001_af20	0.001	0.2	tree_truth	overall	50000.0	10	0.16	0.16	0.05333333333333334	0.11750000000000001	0.175	0.131	0.192	5000	533657077	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	heterozygous	1000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1410489438	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	heterozygous	4500.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	953232280	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	heterozygous	10000.0	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5000	1616099206	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	heterozygous	20000.0	10	5.933730982e-17	0.0	1.8764104925827576e-16	0.0	0.0	0.0	1.7801192945999996e-16	5000	1362783921	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	heterozygous	30000.0	10	9.598051599815001e-15	0.0	2.905170999854441e-14	0.0	2.5127344612499997e-17	0.0	2.804407117843e-14	5000	1542959030	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	heterozygous	40000.0	10	3.3633456001767e-13	6.403611875e-17	9.652657687638403e-13	0.0	3.8391266648000004e-15	1.5537909875999998e-16	9.511182796000937e-13	5000	1318262837	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	heterozygous	50000.0	10	5.196224650040722e-12	2.14015937361e-15	1.3863196740175542e-11	0.0	1.67535514665e-13	5.6156109612000006e-15	1.402767355965262e-11	5000	1780920002	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	hom_alt	1000.0	10	0.022790695000685	0.01339122911	0.020914573032956022	0.0087499703045	0.030715333010000002	0.01103143669206675	0.0357388587804075	5000	1651980726	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	hom_alt	4500.0	10	0.0684479242149	0.06875012762499999	0.03535876246030919	0.048702522639999996	0.09799917908	0.04656351382944999	0.08904594511785	5000	1063051195	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	hom_alt	10000.0	10	0.128300324134	0.134036295	0.05752480424358844	0.099602536515	0.161705267	0.09322677943370002	0.16066173568	5000	104673574	nonrandom
intro_s0p001_af30	0.001	0.3	gamma_smc	hom_alt	20000.0	10	0.21392208194700002	0.2098107136	0.08288473524800569	0.18042765454999998	0.258724621225	0.16499402498507496	0.26078034166267494	5000	1477149743	nonrandom
