source,distance_bp,mode,cutoff_years,n,mean,sem
decoded,980000.0,selected,50000,100,0.21695949999999997,0.00556753484860257
decoded,1030000.0,neutral,5000,1000,0.004751279999999999,2.153049753080323e-05
decoded,1030000.0,neutral,10000,1000,0.02119011,0.00012126813781512912
decoded,1030000.0,neutral,20000,1000,0.07574985,0.00055661041872726
decoded,1030000.0,neutral,30000,1000,0.13035787,0.0010185038774159928
decoded,1030000.0,neutral,40000,1000,0.17636013000000003,0.0013880707149828114
decoded,1030000.0,neutral,50000,1000,0.21424421000000002,0.0016736126171154628
decoded,1030000.0,selected,5000,100,0.0047449,7.2029664904556e-05
decoded,1030000.0,selected,10000,100,0.021527199999999996,0.00042579641552595
decoded,1030000.0,selected,20000,100,0.0771083,0.0018535925644678514
decoded,1030000.0,selected,30000,100,0.13191150000000001,0.003111211438272295
decoded,1030000.0,selected,40000,100,0.17813040000000002,0.0041380907345872405
decoded,1030000.0,selected,50000,100,0.21597689999999997,0.00502709169028428
decoded,1080000.0,neutral,5000,1000,0.004755639999999999,2.146732951805223e-05
decoded,1080000.0,neutral,10000,1000,0.021275600000000002,0.00012917519216269923
decoded,1080000.0,neutral,20000,1000,0.07607813000000001,0.0005665413652343682
decoded,1080000.0,neutral,30000,1000,0.13099420999999997,0.0010160035362938762
decoded,1080000.0,neutral,40000,1000,0.17727898999999997,0.0013834217969759795
decoded,1080000.0,neutral,50000,1000,0.21535589000000002,0.0016640873580864807
decoded,1080000.0,selected,5000,100,0.0047276,7.14345246581183e-05
decoded,1080000.0,selected,10000,100,0.021550700000000002,0.00035564868191727484
decoded,1080000.0,selected,20000,100,0.0777048,0.0018043198527171096
decoded,1080000.0,selected,30000,100,0.13365529999999998,0.003202488872562853
decoded,1080000.0,selected,40000,100,0.18101140000000002,0.004352140369793216
decoded,1080000.0,selected,50000,100,0.2188823,0.005164408327273133
decoded,1130000.0,neutral,5000,1000,0.0047577800000000005,2.162076152518521e-05
decoded,1130000.0,neutral,10000,1000,0.02132453,0.00013736982874324678
decoded,1130000.0,neutral,20000,1000,0.07594442000000001,0.0005668467968990871
decoded,1130000.0,neutral,30000,1000,0.1304929,0.0010098964860333472
decoded,1130000.0,neutral,40000,1000,0.17692186,0.0013842456100162462
decoded,1130000.0,neutral,50000,1000,0.21523197000000002,0.0016733168957052196
decoded,1130000.0,selected,5000,100,0.0046651,7.207228344102912e-05
decoded,1130000.0,selected,10000,100,0.0214332,0.0003533036259666919
decoded,1130000.0,selected,20000,100,0.07673819999999999,0.0016116242787193222
decoded,1130000.0,selected,30000,100,0.13172649999999997,0.003081164457086989
decoded,1130000.0,selected,40000,100,0.17798389999999997,0.0042972646500566225
decoded,1130000.0,selected,50000,100,0.21633720000000004,0.00529325721088689
decoded,1180000.0,neutral,5000,1000,0.00474908,2.1742729817111282e-05
decoded,1180000.0,neutral,10000,1000,0.021333840000000003,0.00014005842429720754
decoded,1180000.0,neutral,20000,1000,0.07619376,0.0005961295106399749
decoded,1180000.0,neutral,30000,1000,0.13102062,0.00105566385008675
decoded,1180000.0,neutral,40000,1000,0.17763017000000003,0.0014364708251484273
decoded,1180000.0,neutral,50000,1000,0.2160293,0.0017333062085859853
decoded,1180000.0,selected,5000,100,0.004652000000000001,7.374279625834648e-05
decoded,1180000.0,selected,10000,100,0.0214222,0.00037487491732091603
decoded,1180000.0,selected,20000,100,0.0768413,0.0015749851027353826
decoded,1180000.0,selected,30000,100,0.13214569999999998,0.002969534824826708
decoded,1180000.0,selected,40000,100,0.17858149999999998,0.004187472754321133
decoded,1180000.0,selected,50000,100,0.2173317,0.005208724545898977
decoded,1230000.0,neutral,5000,1000,0.0047401299999999995,2.1757777551578745e-05
decoded,1230000.0,neutral,10000,1000,0.02136155,0.0001361236950639302
decoded,1230000.0,neutral,20000,1000,0.07662733000000001,0.0005992345368896066
decoded,1230000.0,neutral,30000,1000,0.13199905,0.0010890971928588346
decoded,1230000.0,neutral,40000,1000,0.17865767,0.0014787911736977965
decoded,1230000.0,neutral,50000,1000,0.21728008,0.0017894291432891253
decoded,1230000.0,selected,5000,100,0.0046545,7.24623726808987e-05
decoded,1230000.0,selected,10000,100,0.021270400000000005,0.00037348916985636944
decoded,1230000.0,selected,20000,100,0.0745678,0.0013805389416068385
decoded,1230000.0,selected,30000,100,0.1280965,0.002785610505143107
decoded,1230000.0,selected,40000,100,0.1735646,0.003954378604774584
decoded,1230000.0,selected,50000,100,0.2113487,0.004922826482711825
