metric,min_strides,alpha,cutoff_years,half_width_bp,s,n,detected,detection,fdr_mean,f1_mean,recall_mean,fp_mean,calls_mean,no_calls,tp_total,fp_total,fn_total,fdp_pooled,f1_pooled,fdp_ci_low,fdp_ci_high,f1_ci_low,f1_ci_high
peak,1,0.01,5000,250000,0.003,100,17,0.17,0.5971666666666667,0.09363492063492064,0.17,1.78,1.95,33,17,178,83,0.9128205128205128,0.1152542372881356,0.50556875,0.6855,0.052886507936507926,0.13975912698412693
peak,1,0.01,5000,250000,0.004,100,17,0.17,0.6045521978021978,0.08573687423687425,0.17,1.75,1.92,33,17,175,83,0.9114583333333334,0.11643835616438356,0.5128137362637363,0.6913343406593405,0.04738112026862027,0.13467956349206348
peak,1,0.01,5000,250000,0.005,100,24,0.24,0.617031746031746,0.12385714285714285,0.24,1.75,1.99,29,24,175,76,0.8793969849246231,0.1605351170568562,0.5273615079365079,0.700127976190476,0.0780470238095238,0.175355357142857
peak,1,0.01,5000,250000,0.006,100,23,0.23,0.5927380952380952,0.14116666666666666,0.23,1.65,1.88,29,23,165,77,0.8776595744680851,0.1597222222222222,0.5010672619047619,0.6792607142857141,0.08666249999999999,0.20303749999999976
peak,1,0.01,5000,250000,0.007,100,27,0.27,0.6289603174603174,0.1258809523809524,0.27,1.75,2.02,28,27,175,73,0.8663366336633663,0.17880794701986755,0.5399585317460317,0.7111853174603174,0.08337678571428571,0.1714089285714285
peak,1,0.01,5000,250000,0.008,100,30,0.3,0.537154761904762,0.17407142857142854,0.3,1.81,2.11,32,30,181,70,0.8578199052132701,0.19292604501607716,0.44898125,0.626497619047619,0.1159125,0.23740218253968245
peak,1,0.01,5000,250000,0.009,100,25,0.25,0.5528095238095239,0.13363492063492063,0.25,2.01,2.26,34,25,201,75,0.8893805309734514,0.15337423312883436,0.46223184523809524,0.6456583333333333,0.08512718253968253,0.188672619047619
peak,1,0.01,5000,250000,0.01,100,25,0.25,0.6107575757575758,0.1479047619047619,0.25,1.94,2.19,27,25,194,75,0.8858447488584474,0.15673981191222572,0.5156818181818182,0.701592803030303,0.09427976190476191,0.20743214285714281
peak,1,0.01,5000,500000,0.001,100,9,0.09,0.5838134920634921,0.035555555555555556,0.09,1.72,1.81,39,9,172,91,0.9502762430939227,0.06405693950177936,0.4913779761904762,0.6812150793650794,0.01243888888888889,0.066
peak,1,0.01,5000,500000,0.002,100,15,0.15,0.5173333333333333,0.09133333333333332,0.15,1.14,1.29,41,15,114,85,0.8837209302325582,0.13100436681222707,0.4231625,0.6098333333333333,0.04899166666666666,0.14066666666666666
peak,1,0.01,5000,500000,0.003,100,24,0.24,0.5455,0.1503015873015873,0.24,1.71,1.95,33,24,171,76,0.8769230769230769,0.16271186440677965,0.450825,0.6389333333333332,0.09299642857142859,0.2096031746031746
peak,1,0.01,5000,500000,0.004,100,18,0.18,0.6020521978021978,0.08973687423687422,0.18,1.74,1.92,33,18,174,82,0.90625,0.1232876712328767,0.5171098214285714,0.6888513049450546,0.048902716727716726,0.13537516788766787
peak,1,0.01,5000,500000,0.005,100,28,0.28,0.5961984126984127,0.1495238095238095,0.28,1.71,1.99,29,28,171,72,0.8592964824120602,0.18729096989966554,0.5081140873015872,0.6796621031746032,0.09933035714285714,0.201892857142857
peak,1,0.01,5000,500000,0.006,100,28,0.28,0.5677380952380952,0.17283333333333334,0.28,1.6,1.88,29,28,160,72,0.851063829787234,0.19444444444444445,0.475,0.6593392857142857,0.1125,0.2326708333333333
peak,1,0.01,5000,500000,0.007,100,30,0.3,0.6181269841269841,0.14154761904761903,0.3,1.72,2.02,28,30,172,70,0.8514851485148515,0.1986754966887417,0.5322156746031746,0.7023656746031746,0.09364821428571429,0.18919880952380946
peak,1,0.01,5000,500000,0.008,100,38,0.38,0.5103214285714286,0.2127467532467532,0.38,1.73,2.11,32,38,173,62,0.8199052132701422,0.24437299035369775,0.42265595238095227,0.5944946428571428,0.1556418831168831,0.2807598484848485
peak,1,0.01,5000,500000,0.009,100,29,0.29,0.5340595238095238,0.1565238095238095,0.29,1.97,2.26,34,29,197,71,0.8716814159292036,0.17791411042944785,0.4476517857142857,0.6218857142857143,0.10218690476190478,0.21416746031746028
peak,1,0.01,5000,500000,0.01,100,31,0.31,0.5774242424242424,0.1874285714285714,0.31,1.88,2.19,27,31,188,69,0.8584474885844748,0.19435736677115986,0.49157196969696976,0.6616098484848484,0.1270392857142857,0.25253452380952374
peak,1,0.01,10000,50000,0.001,100,0,0.0,0.61,0.0,0.0,1.39,1.39,39,0,139,100,1.0,0.0,0.51975,0.7,0.0,0.0
peak,1,0.01,10000,50000,0.002,100,1,0.01,0.6866666666666665,0.005,0.01,1.53,1.54,31,1,153,99,0.9935064935064936,0.007874015748031496,0.5966666666666667,0.7766666666666666,0.0,0.015
peak,1,0.01,10000,50000,0.003,100,13,0.13,0.7143409090909091,0.06074603174603174,0.13,2.01,2.14,24,13,201,87,0.9392523364485982,0.08280254777070063,0.6243839015151514,0.7980115530303031,0.028333333333333332,0.09982738095238092
peak,1,0.01,10000,50000,0.004,100,21,0.21,0.7262142857142857,0.11702380952380953,0.21,1.88,2.09,18,21,188,79,0.8995215311004785,0.13592233009708737,0.6395184523809524,0.801860119047619,0.06989940476190476,0.17033452380952377
peak,1,0.01,10000,50000,0.005,100,32,0.32,0.7163650793650794,0.16504761904761903,0.32,2.12,2.44,16,32,212,68,0.8688524590163934,0.18604651162790697,0.6379724206349207,0.7916849206349206,0.11209464285714286,0.21954880952380948
peak,1,0.01,10000,50000,0.006,100,41,0.41,0.6863492063492064,0.21699206349206346,0.41,2.11,2.52,15,41,211,59,0.8373015873015873,0.23295454545454544,0.6107330357142856,0.755767857142857,0.15989940476190476,0.2743547619047619
