key,fold,marker_present,marker_position,af,profile_sha256
neutral/rep0171,3,False,,0.0,e711c109faf2bd7d833a0add1524b97afeea65a8868ba077498dcc9e990e217b
neutral/rep0172,3,False,,0.0,2566df4706ab4ff641004b76796ddf8194dd58d4cd439b934a85d7d127214fb7
neutral/rep0173,1,True,4999052.0,0.105,6d2c171c94aa17fe2f2b4b3b9f819a7285e11bf6d4ee51d02ae67eaa0b135f82
neutral/rep0174,3,False,,0.0,cf1a187a69d0a0ba8a23bc3991016f3449f298f86711e7b78695ee2d47369327
neutral/rep0175,2,False,,0.0,769ee12fc57b968cbebb597ae0dd74422c51fd9d3da0b8f8cb0565d94e07b0ff
neutral/rep0176,3,False,,0.0,e4cf558924522a6e37e38a199dcc461075898d3631195cc378070d030779bca2
neutral/rep0177,0,False,,0.0,5b6083aa883e5565634ab1ce2fa7590be26e16fda19b12cdff0b64e97612c089
neutral/rep0178,1,False,,0.0,52e0e38c591b1ec57d23136b787f471247585b8b188ebba2ed75d20a039f5051
neutral/rep0179,3,False,,0.0,7f12489408171a30aec030558228813f5d549143be26dcff007c305d8fa071a6
neutral/rep0180,3,False,,0.0,0b39663abac2484901475c96fb4ac52aed2abd0013280bc3ddf66f7a54614052
neutral/rep0181,2,False,,0.0,523d6a537e0e5e327974ece114c770d4cfa15dfc366660144234300260bf0992
neutral/rep0182,0,False,,0.0,9656ba6b7aa911c5824c06412fef76d9cd83f8772d06bd958b517e9f6bc50535
neutral/rep0183,3,False,,0.0,8791ddf9e832e0d423360e67859934fc35e355024e58861a06490cb0762a43de
neutral/rep0184,0,True,4998510.0,0.1675,865043cff41b1f7cd430636c55e46d47e1cf8c77d12db29b25b399c75d201d40
neutral/rep0185,4,False,,0.0,cb50821a25dcff71127abeb1ce2912cba6833142f3180709cd63226a7f3a1961
neutral/rep0186,1,True,5001932.0,0.525,077c00cbeb538b4ecbdbe40bfb91fd1b8f1ab6ec082708638aa28fdb5d0c8f67
neutral/rep0187,3,True,4998467.0,0.06,f444b2217f937b35d4f95b77fc5d949aad71a82bd4a1247bd448e743420fe0f5
neutral/rep0188,4,False,,0.0,d099a4ebe13acbd425e6e20b99aff1bed6d3e67c456e4a40c056abeb4487db2a
neutral/rep0189,4,False,,0.0,257dc06cfaf7f97d6b9357942b902e4ccb4825c48ada6759fa6650a7bf5b6030
neutral/rep0190,1,True,4998510.0,0.4375,dc6b074b630a3a5a6ba4c682e8a27913bf0a3929d012568dc90cde19d84a7146
neutral/rep0191,3,False,,0.0,ae14b7ac36e89d7d79c774423fdce24423cabf2e636119908de4147a91c2ac21
