key,maximum_af
neutral/rep0891,0.3775
neutral/rep0892,0.36
neutral/rep0893,0.5525
neutral/rep0894,0.26
neutral/rep0895,0.3475
neutral/rep0896,0.3725
neutral/rep0897,0.4375
neutral/rep0898,0.325
neutral/rep0899,0.3
neutral/rep0900,0.2275
neutral/rep0901,0.275
neutral/rep0902,0.0625
neutral/rep0903,0.1
neutral/rep0904,0.425
neutral/rep0905,0.3875
neutral/rep0906,0.5025
neutral/rep0907,0.5
neutral/rep0908,0.44
neutral/rep0909,0.6525
neutral/rep0910,0.245
neutral/rep0911,0.39
neutral/rep0912,0.6025
neutral/rep0913,0.3075
neutral/rep0914,0.2425
neutral/rep0915,0.48
neutral/rep0916,0.315
neutral/rep0917,0.2325
neutral/rep0918,0.53
neutral/rep0919,0.4875
neutral/rep0920,0.555
neutral/rep0921,0.475
neutral/rep0922,0.08
neutral/rep0923,0.755
neutral/rep0924,0.3125
neutral/rep0925,0.24
neutral/rep0926,0.18
neutral/rep0927,0.2975
neutral/rep0928,0.2675
neutral/rep0929,0.4625
neutral/rep0930,0.415
neutral/rep0931,0.19
neutral/rep0932,0.08
neutral/rep0933,0.7425
neutral/rep0934,0.4275
neutral/rep0935,0.4575
neutral/rep0936,0.34
neutral/rep0937,0.315
neutral/rep0938,0.7425
neutral/rep0939,0.24
neutral/rep0940,0.1925
neutral/rep0941,0.085
neutral/rep0942,0.335
neutral/rep0943,0.4
neutral/rep0944,0.4225
neutral/rep0945,0.1275
neutral/rep0946,0.3125
neutral/rep0947,0.5225
neutral/rep0948,0.545
neutral/rep0949,0.4
neutral/rep0950,0.53
neutral/rep0951,0.3625
neutral/rep0952,0.1625
neutral/rep0953,0.31
neutral/rep0954,0.69
neutral/rep0955,0.4225
neutral/rep0956,0.1975
neutral/rep0957,0.5275
neutral/rep0958,0.3425
neutral/rep0959,0.54
neutral/rep0960,0.61
neutral/rep0961,0.505
neutral/rep0962,0.2225
neutral/rep0963,0.4
neutral/rep0964,0.3925
neutral/rep0965,0.6
neutral/rep0966,0.6225
neutral/rep0967,0.3225
neutral/rep0968,0.3275
neutral/rep0969,0.4475
neutral/rep0970,0.4825
neutral/rep0971,0.5925
neutral/rep0972,0.1975
neutral/rep0973,0.22
neutral/rep0974,0.3825
neutral/rep0975,0.465
neutral/rep0976,0.23
neutral/rep0977,0.3625
neutral/rep0978,0.405
neutral/rep0979,0.245
neutral/rep0980,0.575
neutral/rep0981,0.2275
neutral/rep0982,0.595
neutral/rep0983,0.155
neutral/rep0984,0.6875
neutral/rep0985,0.27
neutral/rep0986,0.0
neutral/rep0987,0.2925
neutral/rep0988,0.17
neutral/rep0989,0.2375
neutral/rep0990,0.3175
neutral/rep0991,0.3425
neutral/rep0992,0.4525
neutral/rep0993,0.505
neutral/rep0994,0.35
neutral/rep0995,0.49
neutral/rep0996,0.4375
neutral/rep0997,0.33
neutral/rep0998,0.2575
neutral/rep0999,0.3725
