genotype_class	method	threshold_years	af_bin	af_low	af_mid	n_replicates	mean_statistic	null_mean	auc	power_rule
noncarrier_noncarrier	truth	5000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.013189531059218648	0.0026056666666666667	0.8748670756646219	0.803680981595092
noncarrier_noncarrier	truth	5000.0	[0.9, 1.01)	0.9	0.9127358490566035	53	0.018066480135384987	0.0026056666666666667	0.5849056603773585	0.5849056603773585
noncarrier_noncarrier	truth	10000.0	[0.0, 0.05)	0.0	0.017342342342342342	111	0.007419638496716978	0.007359	0.5198948948948949	0.0
noncarrier_noncarrier	truth	10000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.0082205123080532	0.007359	0.6427450980392155	0.058823529411764705
noncarrier_noncarrier	truth	10000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.00856912783163095	0.007359	0.7031726907630523	0.060240963855421686
noncarrier_noncarrier	truth	10000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.010335922988450838	0.007359	0.8898924731182798	0.26881720430107525
noncarrier_noncarrier	truth	10000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.012437637260348659	0.007359	0.9131804281345566	0.5779816513761468
noncarrier_noncarrier	truth	10000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.017389454252795263	0.007359	0.9541161616161616	0.8333333333333334
noncarrier_noncarrier	truth	10000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.02779823517084379	0.007359	0.8968302658486708	0.803680981595092
noncarrier_noncarrier	truth	10000.0	[0.9, 1.01)	0.9	0.9127358490566035	53	0.04059705762768114	0.007359	0.8300000000000001	0.8113207547169812
noncarrier_noncarrier	truth	20000.0	[0.0, 0.05)	0.0	0.017342342342342342	111	0.04688026398879494	0.04594566666666666	0.5027177177177178	0.009009009009009009
noncarrier_noncarrier	truth	20000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.04884715138945513	0.04594566666666666	0.6142483660130719	0.0
noncarrier_noncarrier	truth	20000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.05005693677730274	0.04594566666666666	0.607590361445783	0.024096385542168676
noncarrier_noncarrier	truth	20000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.0568062382027271	0.04594566666666666	0.7565591397849463	0.053763440860215055
noncarrier_noncarrier	truth	20000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.06290201613116113	0.04594566666666666	0.8206116207951073	0.1559633027522936
noncarrier_noncarrier	truth	20000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.08005464799467432	0.04594566666666666	0.8940530303030303	0.3939393939393939
noncarrier_noncarrier	truth	20000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.10704784097139776	0.04594566666666666	0.8777914110429447	0.6503067484662577
noncarrier_noncarrier	truth	20000.0	[0.9, 1.01)	0.9	0.9127358490566035	53	0.12993188574110776	0.04594566666666666	0.7849685534591193	0.6415094339622641
noncarrier_noncarrier	truth	30000.0	[0.0, 0.05)	0.0	0.017342342342342342	111	0.097271635151756	0.10093533333333334	0.4656756756756757	0.0
noncarrier_noncarrier	truth	30000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.10106616209902927	0.10093533333333334	0.5288235294117648	0.0
noncarrier_noncarrier	truth	30000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.10789956855279811	0.10093533333333334	0.5991566265060242	0.0
noncarrier_noncarrier	truth	30000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.11937872236378369	0.10093533333333334	0.6681720430107526	0.03225806451612903
noncarrier_noncarrier	truth	30000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.12511010751623247	0.10093533333333334	0.708165137614679	0.03669724770642202
noncarrier_noncarrier	truth	30000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.15510636421419643	0.10093533333333334	0.8058333333333334	0.16666666666666666
noncarrier_noncarrier	truth	30000.0	[0.75, 0.9)	0.75	0.8289877300613497	163	0.1857546679640408	0.10093533333333334	0.848282208588957	0.3128834355828221
noncarrier_noncarrier	truth	30000.0	[0.9, 1.01)	0.9	0.9127358490566035	53	0.21166256335899925	0.10093533333333334	0.7714150943396226	0.41509433962264153
noncarrier_noncarrier	truth	40000.0	[0.0, 0.05)	0.0	0.017342342342342342	111	0.1515497581093157	0.15520733333333334	0.458978978978979	0.0
noncarrier_noncarrier	truth	40000.0	[0.05, 0.15)	0.05	0.0938235294117647	51	0.15974584997712063	0.15520733333333334	0.5183006535947713	0.0
noncarrier_noncarrier	truth	40000.0	[0.15, 0.3)	0.15	0.22006024096385543	83	0.15913722658686877	0.15520733333333334	0.5712851405622491	0.0
noncarrier_noncarrier	truth	40000.0	[0.3, 0.45)	0.3	0.37419354838709673	93	0.18188187257495583	0.15520733333333334	0.6268458781362007	0.021505376344086023
noncarrier_noncarrier	truth	40000.0	[0.45, 0.6)	0.45	0.516651376146789	109	0.17821340921014023	0.15520733333333334	0.631880733944954	0.009174311926605505
noncarrier_noncarrier	truth	40000.0	[0.6, 0.75)	0.6	0.6731060606060607	132	0.20591549686873295	0.15520733333333334	0.7327525252525252	0.045454545454545456
