arm	method	genotype_class	threshold_years	quantile	statistic	null_mean	n_neutral_exceeding	p_corrected	significant_rule
denovo_delayed_s0p01	truth	carrier_noncarrier	30000.0	0.25	0.03673952564156767	0.10093533333333334	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	30000.0	0.5	0.08140916808149407	0.10093533333333334	237	0.7906976744186046	False
denovo_delayed_s0p01	truth	carrier_noncarrier	30000.0	0.75	0.13295476941269216	0.10093533333333334	30	0.10299003322259136	False
denovo_delayed_s0p01	truth	carrier_noncarrier	30000.0	0.9	0.18585183337490646	0.10093533333333334	4	0.016611295681063124	False
denovo_delayed_s0p01	truth	carrier_noncarrier	40000.0	0.1	0.03705069124423963	0.15520733333333334	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	40000.0	0.25	0.07294946473551638	0.15520733333333334	299	0.9966777408637874	False
denovo_delayed_s0p01	truth	carrier_noncarrier	40000.0	0.5	0.11630793096761682	0.15520733333333334	249	0.8305647840531561	False
denovo_delayed_s0p01	truth	carrier_noncarrier	40000.0	0.75	0.18929802955665026	0.15520733333333334	50	0.16943521594684385	False
denovo_delayed_s0p01	truth	carrier_noncarrier	40000.0	0.9	0.3254993097776604	0.15520733333333334	3	0.013289036544850499	False
denovo_delayed_s0p01	truth	carrier_noncarrier	50000.0	0.1	0.05392857142857142	0.20062233333333335	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	50000.0	0.25	0.10437710437710437	0.20062233333333335	296	0.9867109634551495	False
denovo_delayed_s0p01	truth	carrier_noncarrier	50000.0	0.5	0.15508950040074806	0.20062233333333335	238	0.7940199335548173	False
denovo_delayed_s0p01	truth	carrier_noncarrier	50000.0	0.75	0.3023688788330131	0.20062233333333335	16	0.05647840531561462	False
denovo_delayed_s0p01	truth	carrier_noncarrier	50000.0	0.9	0.41351326954323886	0.20062233333333335	2	0.009966777408637873	False
denovo_delayed_s0p01	truth	carrier_noncarrier	75000.0	0.1	0.07810818465024072	0.28886799999999996	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	75000.0	0.25	0.13924561177077954	0.28886799999999996	300	1.0	False
denovo_delayed_s0p01	truth	carrier_noncarrier	75000.0	0.5	0.25096601690529585	0.28886799999999996	168	0.5614617940199336	False
denovo_delayed_s0p01	truth	carrier_noncarrier	75000.0	0.75	0.42571403385049367	0.28886799999999996	37	0.12624584717607973	False
denovo_delayed_s0p01	truth	carrier_noncarrier	75000.0	0.9	0.5305444111523031	0.28886799999999996	12	0.04318936877076412	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	1000.0	0.1	0.0002	0.0004786666666666667	289	0.9634551495016611	False
denovo_delayed_s0p01	truth	noncarrier_noncarrier	1000.0	0.25	0.00028220823798627	0.0004786666666666667	259	0.8637873754152824	False
