arm	method	genotype_class	threshold_years	n_replicates	n_null	mean_af	mean_statistic	null_mean	auc	power_rule	power_p_corrected	median_p
denovo_s0p004	truth	overall	5000.0	100	300	0.6128	0.002708	0.0026056666666666667	0.54775	0.01	0.01	0.521594684385382
denovo_s0p005	truth	carrier_carrier	5000.0	100	300	0.7357	0.004928318349400998	0.0026056666666666667	0.7929333333333334	0.32	0.32	0.059800664451827246
denovo_s0p005	truth	carrier_noncarrier	5000.0	100	300	0.7357	0.0	0.0026056666666666667	0.0	0.0	0.0	1.0
denovo_s0p005	truth	noncarrier_noncarrier	5000.0	77	300	0.6690909090909091	0.010642327881030431	0.0026056666666666667	0.8425541125541125	0.6623376623376623	0.6753246753246753	0.0033222591362126247
denovo_s0p005	truth	overall	5000.0	100	300	0.7357	0.0026379999999999997	0.0026056666666666667	0.5253	0.0	0.0	0.521594684385382
pulse_delayed_s0p005	truth	carrier_carrier	5000.0	88	300	0.3131818181818182	0.014201529814046808	0.0026056666666666667	0.9868939393939393	0.9772727272727273	0.9772727272727273	0.0033222591362126247
pulse_delayed_s0p005	truth	carrier_noncarrier	5000.0	100	300	0.2801	0.0	0.0026056666666666667	0.0	0.0	0.0	1.0
pulse_delayed_s0p005	truth	noncarrier_noncarrier	5000.0	100	300	0.2801	0.0037755847819104242	0.0026056666666666667	0.752633333333333	0.23	0.25	0.15282392026578073
pulse_delayed_s0p005	truth	overall	5000.0	100	300	0.2801	0.0027829999999999994	0.0026056666666666667	0.5795333333333335	0.02	0.02	0.4418604651162791
pulse_s0p003	truth	carrier_carrier	5000.0	95	300	0.5405263157894737	0.006771913038034102	0.0026056666666666667	0.898280701754386	0.6	0.6105263157894737	0.0033222591362126247
pulse_s0p003	truth	carrier_noncarrier	5000.0	99	300	0.5207070707070708	0.0	0.0026056666666666667	0.0	0.0	0.0	1.0
pulse_s0p003	truth	noncarrier_noncarrier	5000.0	97	300	0.5021134020618556	0.006347276903976597	0.0026056666666666667	0.8961512027491407	0.5876288659793815	0.5876288659793815	0.0033222591362126247
pulse_s0p003	truth	overall	5000.0	100	300	0.5155000000000001	0.0026450000000000006	0.0026056666666666667	0.52115	0.0	0.0	0.521594684385382
pulse_s0p004	truth	carrier_carrier	5000.0	98	300	0.6880102040816327	0.007028208373080412	0.0026056666666666667	0.8196938775510205	0.3673469387755102	0.3877551020408163	0.044850498338870434
pulse_s0p004	truth	carrier_noncarrier	5000.0	100	300	0.67495	0.0	0.0026056666666666667	0.0	0.0	0.0	1.0
pulse_s0p004	truth	noncarrier_noncarrier	5000.0	81	300	0.6060493827160495	0.00985951698017981	0.0026056666666666667	0.88	0.691358024691358	0.7283950617283951	0.0033222591362126247
pulse_s0p004	truth	overall	5000.0	100	300	0.67495	0.0026759999999999996	0.0026056666666666667	0.5346	0.0	0.0	0.48172757475083056
pulse_s0p005	truth	carrier_carrier	5000.0	100	300	0.8032499999999999	0.004059483587888192	0.0026056666666666667	0.7397499999999999	0.22	0.22	0.11627906976744186
pulse_s0p005	truth	carrier_noncarrier	5000.0	97	300	0.7971649484536081	0.0	0.0026056666666666667	0.0	0.0	0.0	1.0
pulse_s0p005	truth	noncarrier_noncarrier	5000.0	70	300	0.7338571428571429	0.012525873062262575	0.0026056666666666667	0.8453809523809525	0.7142857142857143	0.7285714285714285	0.0033222591362126247
pulse_s0p005	truth	overall	5000.0	100	300	0.8032499999999999	0.002672000000000001	0.0026056666666666667	0.5339666666666666	0.01	0.01	0.521594684385382
denovo_delayed_s0p01	decode	overall	10000.0	100	300	0.01875	0.022008	0.021820000000000003	0.5037166666666668	0.0	0.0	0.5033222591362126
