calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw013	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	13	513946929
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw014	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	14	1969627529
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw015	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	15	94888452
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw016	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	16	41236234
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw017	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	17	1233357034
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw018	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	18	442937239
han_calibration__s0.010000__af0.100000__m0.300000__q5__draw019	0.01	0.1	0.07500000000000001	0.125	0.3	1453.301330161558	818.6986698384419	2026.3903990484673	2025.0	5.0	500	19	1582673372
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw000	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	0	1969404425
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw001	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	1	1207392897
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw002	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	2	1556604390
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw003	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	3	1333506690
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw004	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	4	1164416077
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw005	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	5	1566638787
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw006	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	6	688228689
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw007	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	7	1062961673
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw008	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	8	921398545
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw009	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	9	887018090
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw010	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	10	1800614011
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw011	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	11	200108292
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw012	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	12	1351033693
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw013	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	13	1233091483
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw014	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	14	923027941
han_calibration__s0.010000__af0.100000__m0.350000__q5__draw015	0.01	0.1	0.07500000000000001	0.125	0.35	1453.301330161558	818.6986698384419	1985.4554655565453	1985.0	5.0	500	15	1439162747
