position_0based	position_1based	n_pairs	mean_p_tmrca_lt_threshold	mean_tmrca_generations	n_recent_4500	frac_recent_4500	mean_p_lt_4500
6910000	6910001	2000	0.02449364253	12529.03741	20	0.01	0.02449364253
6920000	6920001	2000	0.02680355849	14081.64373	20	0.01	0.02680355849
6930000	6930001	2000	0.0200774443	18390.02665	18	0.009	0.0200774443
6940000	6940001	2000	0.02041211058	29052.13569	19	0.0095	0.02041211058
6950000	6950001	2000	0.02047487305	23393.60477	19	0.0095	0.02047487305
6960000	6960001	2000	0.01773105259	17130.63444	19	0.0095	0.01773105259
6970000	6970001	2000	0.01920710092	22053.07137	20	0.01	0.01920710092
6980000	6980001	2000	0.02119878001	15110.0728	20	0.01	0.02119878001
6990000	6990001	2000	0.02189034514	21929.32598	20	0.01	0.02189034514
7000000	7000001	2000	0.02106275153	15284.40731	20	0.01	0.02106275153
7010000	7010001	2000	0.02164363788	20853.57403	21	0.0105	0.02164363788
7020000	7020001	2000	0.02097535844	23595.19306	20	0.01	0.02097535844
7030000	7030001	2000	0.02113407187	27018.23778	20	0.01	0.02113407187
7040000	7040001	2000	0.02047795104	30523.01816	19	0.0095	0.02047795104
7050000	7050001	2000	0.02086895199	24186.14141	19	0.0095	0.02086895199
7060000	7060001	2000	0.02075079239	20916.62841	17	0.0085	0.02075079239
7070000	7070001	2000	0.02196010493	13014.30877	17	0.0085	0.02196010493
7080000	7080001	2000	0.02126728345	21379.40497	17	0.0085	0.02126728345
7090000	7090001	2000	0.01980597488	19315.22145	15	0.0075	0.01980597488
7100000	7100001	2000	0.02180357575	20387.38062	16	0.008	0.02180357575
7110000	7110001	2000	0.02176132628	21021.14424	16	0.008	0.02176132628
7120000	7120001	2000	0.0227023902	31276.88414	16	0.008	0.0227023902
7130000	7130001	2000	0.02242568205	28577.29737	17	0.0085	0.02242568205
7140000	7140001	2000	0.02384964138	15847.40919	17	0.0085	0.02384964138
7150000	7150001	2000	0.02361935201	12271.86375	16	0.008	0.02361935201
7160000	7160001	2000	0.02451436723	17832.30747	16	0.008	0.02451436723
7170000	7170001	2000	0.02228499259	15324.22618	16	0.008	0.02228499259
7180000	7180001	2000	0.02870192823	23291.1776	17	0.0085	0.02870192823
7190000	7190001	2000	0.02773157716	19949.77429	17	0.0085	0.02773157716
7200000	7200001	2000	0.02816423341	19787.27514	18	0.009	0.02816423341
7210000	7210001	2000	0.02781189759	14102.54255	18	0.009	0.02781189759
7220000	7220001	2000	0.02939219862	19758.81199	18	0.009	0.02939219862
7230000	7230001	2000	0.02861384301	14762.22098	17	0.0085	0.02861384301
