schema	unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	threshold_years	posthoc_overall_score	decoder_cpp_overall_score	signed_difference	absolute_difference
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r013	EAS	neutral	0	2026083613	25	1000	0.010425969525036698	0.0104252722299999	6.97295036797968e-07	6.97295036797968e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r013	EAS	neutral	0	2026083613	25	4500	0.041046316762946004	0.041044930870000003	1.3858929460014435e-06	1.3858929460014435e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r013	EAS	neutral	0	2026083613	25	10000	0.081392658347956393	0.081391438790000006	1.2195579563861747e-06	1.2195579563861747e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r013	EAS	neutral	0	2026083613	25	20000	0.14164678319141152	0.14164628570000001	4.9749141151078646e-07	4.9749141151078646e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r013	EAS	neutral	0	2026083613	25	30000	0.19096314413791599	0.19096328330000001	-1.3916208402298125e-07	1.3916208402298125e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r013	EAS	neutral	0	2026083613	25	40000	0.2332646524151186	0.2332654194999999	-7.6708488130905472e-07	7.6708488130905472e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r013	EAS	neutral	0	2026083613	25	50000	0.27057109737507984	0.27057224410000003	-1.146724920186859e-06	1.146724920186859e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r014	EAS	neutral	0	2026083614	25	1000	0.0093113424782662949	0.0093101122180000006	1.2302602662942613e-06	1.2302602662942613e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r014	EAS	neutral	0	2026083614	25	4500	0.038808921670914348	0.03880558579	3.3358809143485546e-06	3.3358809143485546e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r014	EAS	neutral	0	2026083614	25	10000	0.078757755574434221	0.078753878449999898	3.8771244343233091e-06	3.8771244343233091e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r014	EAS	neutral	0	2026083614	25	20000	0.13653562592292909	0.13653238770000001	3.2382229290806031e-06	3.2382229290806031e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r014	EAS	neutral	0	2026083614	25	30000	0.18051315805342319	0.18051066139999991	2.4966534232784277e-06	2.4966534232784277e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r014	EAS	neutral	0	2026083614	25	40000	0.21479863639298719	0.2147966208	2.0155929871812361e-06	2.0155929871812361e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r014	EAS	neutral	0	2026083614	25	50000	0.24208342604941521	0.2420817945	1.6315494152097099e-06	1.6315494152097099e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r015	EAS	neutral	0	2026083615	25	1000	0.0080056249386258205	0.0080046591949999007	9.6574362591986262e-07	9.6574362591986262e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r015	EAS	neutral	0	2026083615	25	4500	0.036098261651888536	0.036095242450000002	3.0192018885336069e-06	3.0192018885336069e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r015	EAS	neutral	0	2026083615	25	10000	0.075198367364703783	0.075193976250000003	4.3911147037806186e-06	4.3911147037806186e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r015	EAS	neutral	0	2026083615	25	20000	0.13181324247332477	0.13180841209999991	4.8303733248544756e-06	4.8303733248544756e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r015	EAS	neutral	0	2026083615	25	30000	0.17510221626607922	0.17509755630000001	4.6599660792068232e-06	4.6599660792068232e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r015	EAS	neutral	0	2026083615	25	40000	0.2094834196017252	0.20947933590000001	4.083701725193789e-06	4.083701725193789e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r015	EAS	neutral	0	2026083615	25	50000	0.23767680665538399	0.23767329000000001	3.5166553839782733e-06	3.5166553839782733e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r016	EAS	neutral	0	2026083616	25	1000	0.012023083592944569	0.01202201028	1.0733129445685691e-06	1.0733129445685691e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r016	EAS	neutral	0	2026083616	25	4500	0.0545262487347302	0.0545234206799999	2.8280547303000114e-06	2.8280547303000114e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r016	EAS	neutral	0	2026083616	25	10000	0.1155493822552324	0.1155460147	3.3675552323919611e-06	3.3675552323919611e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r016	EAS	neutral	0	2026083616	25	20000	0.20771399189766437	0.2077109772999999	3.0145976644690986e-06	3.0145976644690986e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r016	EAS	neutral	0	2026083616	25	30000	0.28164350940698407	0.28164093979999988	2.5696069841929514e-06	2.5696069841929514e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r016	EAS	neutral	0	2026083616	25	40000	0.34212780535832737	0.34212563889999992	2.1664583274572102e-06	2.1664583274572102e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r016	EAS	neutral	0	2026083616	25	50000	0.39223852580282875	0.39223633720000001	2.1886028287454451e-06	2.1886028287454451e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r017	EAS	neutral	0	2026083617	25	1000	0.0049563385634418733	0.0049560036359998999	3.3492744197331781e-07	3.3492744197331781e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r017	EAS	neutral	0	2026083617	25	4500	0.021319580340897034	0.021318752050000001	8.2829089703348457e-07	8.2829089703348457e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r017	EAS	neutral	0	2026083617	25	10000	0.045727427454751217	0.045726416700000001	1.0107547512155923e-06	1.0107547512155923e-06
