cohort,score
Neutral,0.2772
Neutral,0.2781
Neutral,0.2784
Neutral,0.2799
Neutral,0.2802
Neutral,0.2803
Neutral,0.2803
Neutral,0.2817
Neutral,0.2817
Neutral,0.2828
Neutral,0.2831
Neutral,0.2834
Neutral,0.2839
Neutral,0.2844
Neutral,0.2847
Neutral,0.2856
Neutral,0.2874
Neutral,0.2877
Neutral,0.2878
Neutral,0.2892
Neutral,0.2893
Neutral,0.2899
Neutral,0.2903
Neutral,0.2908
Neutral,0.2914
Neutral,0.2923
Neutral,0.2934
Neutral,0.2935
Neutral,0.294
Neutral,0.2952
Neutral,0.298
Neutral,0.2981
Neutral,0.2986
Neutral,0.2991
Neutral,0.2997
Neutral,0.301
Neutral,0.3022
Neutral,0.303
Neutral,0.3045
Neutral,0.3046
Neutral,0.3068
Neutral,0.3075
Neutral,0.3089
Neutral,0.3092
Neutral,0.3096
Neutral,0.3098
Neutral,0.3098
Neutral,0.3109
Neutral,0.3125
Neutral,0.3136
Neutral,0.3143
Neutral,0.3146
Neutral,0.3154
Neutral,0.3167
Neutral,0.3169
Neutral,0.3194
Neutral,0.3196
Neutral,0.3208
Neutral,0.3208
Neutral,0.3216
Neutral,0.3226
Neutral,0.3226
Neutral,0.3234
Neutral,0.3235
Neutral,0.3243
Neutral,0.3251
Neutral,0.3273
Neutral,0.3278
Neutral,0.3296
Neutral,0.3313
Neutral,0.3316
Neutral,0.333
Neutral,0.3364
Neutral,0.3367
Neutral,0.3381
Neutral,0.339
Neutral,0.3391
Neutral,0.3394
Neutral,0.3412
Neutral,0.3412
Neutral,0.3417
Neutral,0.3426
Neutral,0.3431
Neutral,0.3442
Neutral,0.346
Neutral,0.347
Neutral,0.3473
Neutral,0.3478
Neutral,0.3485
Neutral,0.3507
Neutral,0.3513
Neutral,0.3514
Neutral,0.3517
Neutral,0.3525
Neutral,0.3532
Neutral,0.3532
Neutral,0.3548
Neutral,0.3556
Neutral,0.356
Neutral,0.3561
Neutral,0.3605
Neutral,0.361
Neutral,0.361
Neutral,0.3615
Neutral,0.3649
Neutral,0.3668
Neutral,0.3669
Neutral,0.3691
Neutral,0.3712
Neutral,0.3715
Neutral,0.3718
Neutral,0.3722
Neutral,0.3735
Neutral,0.3752
Neutral,0.3759
Neutral,0.3766
Neutral,0.3768
Neutral,0.3771
Neutral,0.3776
Neutral,0.3777
Neutral,0.3818
Neutral,0.3821
Neutral,0.3888
Neutral,0.3897
Neutral,0.3956
Neutral,0.397
Neutral,0.397
Neutral,0.3972
Neutral,0.3974
Neutral,0.4016
Neutral,0.4019
Neutral,0.4071
Neutral,0.4078
Neutral,0.4098
Neutral,0.4101
Neutral,0.4108
Neutral,0.414
Neutral,0.4152
Neutral,0.4166
Neutral,0.4168
Neutral,0.4213
Neutral,0.4218
Neutral,0.4247
Neutral,0.4289
Neutral,0.4301
Neutral,0.4326
Neutral,0.4412
Neutral,0.4489
Neutral,0.4511
Neutral,0.4657
Neutral,0.4667
Neutral,0.4776
Neutral,0.4811
Neutral,0.4974
Neutral,0.4993
Neutral,0.5083
Neutral,0.5263
Neutral,0.5271
Neutral,0.5324
Neutral,0.5578
Neutral,0.5927
Neutral,0.6036
Neutral,0.6084
Selected s=0.005,0.1153
Selected s=0.005,0.1381
Selected s=0.005,0.1437
Selected s=0.005,0.1656
Selected s=0.005,0.1855
Selected s=0.005,0.1908
Selected s=0.005,0.2174
Selected s=0.005,0.2255
Selected s=0.005,0.2263
Selected s=0.005,0.2298
Selected s=0.005,0.2301
Selected s=0.005,0.2317
Selected s=0.005,0.2435
Selected s=0.005,0.2448
Selected s=0.005,0.254
Selected s=0.005,0.2615
Selected s=0.005,0.2687
Selected s=0.005,0.2831
Selected s=0.005,0.2835
Selected s=0.005,0.2845
Selected s=0.005,0.2865
Selected s=0.005,0.2906
Selected s=0.005,0.2906
Selected s=0.005,0.2926
Selected s=0.005,0.2966
Selected s=0.005,0.304
Selected s=0.005,0.3132
Selected s=0.005,0.329
Selected s=0.005,0.3301
Selected s=0.005,0.3358
Selected s=0.005,0.3421
Selected s=0.005,0.3426
Selected s=0.005,0.3513
Selected s=0.005,0.3537
Selected s=0.005,0.3552
Selected s=0.005,0.356
Selected s=0.005,0.3569
Selected s=0.005,0.3606
Selected s=0.005,0.3805
Selected s=0.005,0.3856
Selected s=0.005,0.4074
Selected s=0.005,0.4087
Selected s=0.005,0.4129
Selected s=0.005,0.417
Selected s=0.005,0.4188
Selected s=0.005,0.4193
Selected s=0.005,0.4254
Selected s=0.005,0.4279
Selected s=0.005,0.4321
Selected s=0.005,0.4328
Selected s=0.005,0.4421
Selected s=0.005,0.444
Selected s=0.005,0.4621
Selected s=0.005,0.4642
Selected s=0.005,0.4643
Selected s=0.005,0.4658
Selected s=0.005,0.4785
Selected s=0.005,0.4853
Selected s=0.005,0.49
Selected s=0.005,0.494
Selected s=0.005,0.5002
Selected s=0.005,0.5066
Selected s=0.005,0.5148
Selected s=0.005,0.5158
Selected s=0.005,0.5172
Selected s=0.005,0.52
Selected s=0.005,0.5204
Selected s=0.005,0.5209
Selected s=0.005,0.5308
Selected s=0.005,0.5381
Selected s=0.005,0.5424
Selected s=0.005,0.5428
Selected s=0.005,0.5437
Selected s=0.005,0.5458
Selected s=0.005,0.546
Selected s=0.005,0.553
Selected s=0.005,0.5898
Selected s=0.005,0.6098
Selected s=0.005,0.6119
Selected s=0.005,0.6202
Selected s=0.005,0.621
Selected s=0.005,0.6328
Selected s=0.005,0.6413
Selected s=0.005,0.6487
Selected s=0.005,0.6677
Selected s=0.005,0.6719
Selected s=0.005,0.6794
Selected s=0.005,0.6816
Selected s=0.005,0.682
Selected s=0.005,0.702
Selected s=0.005,0.7076
Selected s=0.005,0.7167
Selected s=0.005,0.7294
Selected s=0.005,0.7319
Selected s=0.005,0.7462
Selected s=0.005,0.7571
Selected s=0.005,0.7848
Selected s=0.005,0.8346
Selected s=0.005,0.8533
Selected s=0.005,0.8574
