demography_id	selection_coefficient	time_variable	time_generations	time_kya	initial_af_assumption	deterministic_final_af
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1301	32.525	0.0001590836780146357	0.09613547255232047
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1311	32.775	0.00015878056525881233	0.10039633346585387
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1321	33.025	0.00015888147442008263	0.105062997271346
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1331	33.275	0.00015873015873015873	0.10976476414336048
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1341	33.525	0.00015903307888040714	0.11494059998329281
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1351	33.775	0.0001585791309863622	0.11982396198670206
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1361	34.025	0.0001584786053882726	0.12512886615886148
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1371	34.275	0.00015822784810126583	0.1305259709123628
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1381	34.525	0.00015822784810126583	0.13630599227190046
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1391	34.775	0.00015827793605571383	0.14233871790162664
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1401	35.025	0.00015787811809283233	0.14823278770591464
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1411	35.275	0.0001575795776867318	0.15441010785958975
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1421	35.525	0.0001575299306868305	0.16100929394593666
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1431	35.775	0.00015743073047858942	0.1677905662986486
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1441	36.025	0.00015708451146716933	0.17457131766102818
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1451	36.275	0.000157035175879397	0.18184700096356618
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1461	36.525	0.00015683814303638644	0.1892118718545511
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1471	36.775	0.00015678896205707118	0.1969522210248128
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1475	36.875	0.00015639662183296842	0.19973380344798175
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1481	37.025	0.00015634771732332708	0.20452133762349062
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1491	37.275	0.00015586034912718204	0.21225362464909855
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1501	37.525	0.00015595757953836556	0.2208412758831291
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1511	37.775	0.00015566625155666251	0.22923416474108788
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1521	38.025	0.00015518311607697082	0.23762413236902424
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1531	38.275	0.00015532774153463808	0.24697377976028898
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1541	38.525	0.00015513496742165683	0.25615310116582884
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1551	38.775	0.00015489467162329616	0.2654931457857818
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1561	39.025	0.00015451174289245981	0.27486337386180365
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1571	39.275	0.00015432098765432098	0.2846887149703604
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1581	39.525	0.00015384615384615385	0.2943388317622375
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	1591	39.775	0.00015356265356265356	0.30443892425326047
